user_id	opinion	time
1	1	0
2	1	7.66E-06
3	1	1.53E-05
4	1	2.30E-05
5	1	3.06E-05
6	1	3.83E-05
7	1	4.60E-05
8	1	5.36E-05
9	1	6.13E-05
10	1	6.89E-05
11	1	7.66E-05
12	2	8.43E-05
12	1	9.19E-05
13	1	9.96E-05
14	1	0.000107232
15	1	0.000114891
15	1	0.000122551
16	1	0.00013021
17	1	0.00013787
18	1	0.000145529
19	1	0.000153189
20	1	0.000160848
1	1	0.000436588
1	1	0.000444247
2	1	0.000451906
3	1	0.000459566
4	1	0.000467225
5	1	0.000474885
6	1	0.000490204
6	1	0.000497863
7	1	0.000505522
8	2	0.000513182
8	0	0.000520841
8	1	0.000528501
8	1	0.00053616
9	1	0.00054382
9	1	0.000551479
11	1	0.000574457
11	1	0.000582117
12	2	0.000589776
12	1	0.000597436
13	1	0.000605095
14	1	0.000612754
15	1	0.000620414
15	1	0.000628073
16	1	0.000635733
17	1	0.000651052
18	1	0.000658711
19	2	0.00067403
19	1	0.000681689
20	1	0.000689349
1	1	0.001095299
1	1	0.001102958
2	1	0.001110618
3	1	0.001118277
4	2	0.001125936
4	1	0.001133596
4	1	0.001141255
5	2	0.001148915
5	1	0.001156574
5	1	0.001164234
6	2	0.001171893
6	1	0.001179552
6	1	0.001187212
7	1	0.001194871
8	2	0.001202531
8	0	0.00121019
8	1	0.00121785
8	1	0.001225509
9	2	0.001233168
9	1	0.001240828
9	1	0.001248487
10	1	0.001256147
11	1	0.001279125
11	1	0.001286784
12	1	0.001294444
13	1	0.001302103
13	1	0.001309763
14	1	0.001317422
14	1	0.001325082
15	1	0.001332741
15	1	0.0013404
16	1	0.001355719
17	1	0.001378698
17	1	0.001386357
18	1	0.001394016
18	1	0.001401676
19	1	0.001409335
19	1	0.001416995
20	2	0.001424654
20	1	0.001432314
20	1	0.001439973
1	1	0.002029749
2	1	0.002037409
2	1	0.002045068
3	1	0.002052728
3	1	0.002060387
4	1	0.002068046
4	1	0.002075706
5	1	0.002083365
5	1	0.002091025
6	1	0.002114003
6	1	0.002121662
7	1	0.002129322
8	2	0.002136981
8	0	0.002144641
8	1	0.0021523
8	1	0.00215996
9	0	0.002167619
9	1	0.002175278
9	1	0.002182938
10	1	0.002190597
10	1	0.002198257
11	1	0.002221235
11	1	0.002228894
12	2	0.002236554
12	1	0.002244213
13	1	0.002251873
13	1	0.002259532
14	1	0.002267192
15	0	0.002274851
15	1	0.00228251
15	1	0.00229017
16	1	0.002305489
16	1	0.002313148
17	2	0.002359105
17	1	0.002366764
17	1	0.002374424
18	1	0.002382083
18	1	0.002389742
19	1	0.00242038
19	1	0.00242804
2	1	0.003033135
2	1	0.003040794
3	2	0.003048454
3	1	0.003056113
3	1	0.003063772
4	1	0.003071432
4	1	0.003079091
5	1	0.003086751
5	1	0.00309441
6	1	0.003109729
6	1	0.003117388
7	1	0.003125048
8	0	0.003132707
8	1	0.003140367
8	1	0.003148026
9	2	0.003155686
9	1	0.003163345
9	1	0.003171004
10	1	0.003178664
11	1	0.003201642
11	1	0.003209302
12	1	0.003216961
12	1	0.00322462
13	1	0.00323228
13	1	0.003239939
14	1	0.003247599
15	0	0.003255258
15	2	0.003262918
15	1	0.003270577
15	1	0.003278236
16	1	0.003285896
16	1	0.003293555
17	1	0.003331853
17	1	0.003339512
18	1	0.003347171
18	1	0.003354831
19	1	0.003385469
19	1	0.003393128
20	1	0.003400787
20	1	0.003408447
2	1	0.004097796
2	1	0.004105455
3	2	0.004113114
3	2	0.004120774
3	0	0.004128433
3	1	0.004136093
3	1	0.004143752
3	0	0.004151412
4	1	0.004159071
4	1	0.00416673
5	1	0.00417439
5	1	0.004182049
6	2	0.004189709
6	1	0.004197368
6	1	0.004205028
6	0	0.004212687
7	1	0.004220347
8	1	0.004228006
8	1	0.004235665
9	2	0.004243325
9	1	0.004250984
9	1	0.004258644
10	1	0.004266303
10	1	0.004273963
11	1	0.004296941
11	1	0.0043046
12	2	0.00431226
12	1	0.004319919
12	1	0.004327579
13	0	0.004350557
13	1	0.004358216
13	1	0.004365876
14	1	0.004373535
14	1	0.004381195
15	1	0.004396513
15	1	0.004404173
16	1	0.004419492
17	1	0.004473108
17	1	0.004480767
18	1	0.004488427
18	1	0.004496086
19	1	0.004534383
19	1	0.004542043
20	1	0.004549702
1	1	0.005346283
2	0	0.005353942
2	1	0.005361602
2	1	0.005369261
3	2	0.005376921
3	2	0.00538458
3	0	0.005392239
3	1	0.005399899
3	1	0.005407558
3	0	0.005415218
4	2	0.005422877
4	0	0.005430537
4	2	0.005438196
4	0	0.005445855
4	2	0.005453515
4	1	0.005461174
4	1	0.005468834
5	0	0.005499471
5	1	0.005507131
5	1	0.00551479
6	2	0.00552245
6	1	0.005530109
6	1	0.005537769
6	0	0.005545428
8	1	0.005553088
8	1	0.005560747
9	2	0.005568406
